username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
maodrizzle;2019-01-05 18:27;1;3;"The more we save lives the more cbz account holders we have! From a grand father, to grandchildren. Defensive driving mean we are more cautious when driving despite how right we are on the road, we do all pre checks needed before, during and after driving. Safety comes first!";;;;"1081588042060709888";https://twitter.com/maodrizzle/status/1081588042060709888
mutingwendechri;2019-01-05 15:16;0;1;"If I send in Rand will the receiver get it in Rand";;;;"1081540040029884417";https://twitter.com/mutingwendechri/status/1081540040029884417
StarfmZimbabwe;2019-01-05 11:58;8;18;"Be part of the First Ever @CBZHoldings Harare Marathon happening on the 27th of January 2019. Registration: Old Georgians Sports Club Registration Fee: $10 - HAC Members, $15 - Non Members Registration Dates: - 18 & 25 Jan (1630hrs - 1900hrs), 26 Jan (1000hrs - 1330hrs). pic.twitter.com/FbEdAm9B3X";;@CBZHoldings;;"1081490166865371136";https://twitter.com/StarfmZimbabwe/status/1081490166865371136
vengi263;2019-01-05 11:35;0;2;"Ndaiti ndawinner wo but zvakaramba . We go again!!!!! Congratulations to you all mawinners";;;;"1081484310685859842";https://twitter.com/vengi263/status/1081484310685859842
CBZHoldings;2019-01-05 11:18;3;13;"This January, get your "Hard Cash" and a little more from CBZ Bank via Mukuru. You do not need to be a CBZ Account holder, just enjoy convenience of getting money from abroad through http:// Mukuru.Com . #SwitchToTheBest 263Chat ZiFM Stereo StarFM NewsDay-Zimbabwe pic.twitter.com/F1TmvNZ8Ct";;;#SwitchToTheBest;"1081479975545462784";https://twitter.com/CBZHoldings/status/1081479975545462784
CBZHoldings;2019-01-05 08:00;2;4;"Pay your school fees the smart way Pay child's school and tertiary fees from the palm of your hand with CBZ touch #SwitchToTheBest #PartnersForSuccess @263Chat @NewsDayZimbabwe @ZiFMStereo @StarfmZimbabwe @empowered_trust pic.twitter.com/gkskh0oeC6";;@263Chat @NewsDayZimbabwe @ZiFMStereo @StarfmZimbabwe @empowered_trust;#SwitchToTheBest #PartnersForSuccess;"1081430181577924608";https://twitter.com/CBZHoldings/status/1081430181577924608
MunyaMathew;2019-01-05 00:21;2;1;"I need to be a qualified driver who is also a good fit and defensive";;;;"1081314639202406401";https://twitter.com/MunyaMathew/status/1081314639202406401
iamnancy_hove;2019-01-04 21:18;0;0;"@CBZHoldings @NMBBankZim @Nedbank";;@CBZHoldings @NMBBankZim @Nedbank;;"1081268757136318464";https://twitter.com/iamnancy_hove/status/1081268757136318464
PrivyMureya;2019-01-04 20:40;3;8;"According to accident statistics in Zimbabwe most road accidents are caused by human errors so I believe it is of paramount importance for all drivers to take defensive driving course to reduce accidents on our roads and save lives.";;;;"1081259042905997319";https://twitter.com/PrivyMureya/status/1081259042905997319
haploz99;2019-01-04 19:58;2;3;"A defensive drivers course equips one to be more aware and knowledgeable on actions of reducing road carnage as well as driving responsibly. I really wish I could take this course and help save lives!!";;;;"1081248569884135424";https://twitter.com/haploz99/status/1081248569884135424
